0840 idonix-metanet
0841 hsl-storm
0842 newheights
0843 kdm
0844 ccowcmr
0845 mentaclient
0846 mentaserver
0847 gsigatekeeper
0848 qencp
0849 scientia-ssdb
084A caupc-remote
084B gtp-control
084C elatelink
084D lockstep
084E pktcable-cops
084F index-pc-wb
0850 net-steward
0851 cs-live
0852 swc-xds
0853 avantageb2b
0854 avail-epmap
0855 zymed-zpp
0856 avenue
0857 gris
0858 appworxsrv
0859 connect
085A unbind-cluster
085B ias-auth
085C ias-reg
085D ias-admind
085E tdm-over-ip
085F lv-jc
0860 lv-ffx
0861 lv-pici
0862 lv-not
0863 lv-auth
0864 veritas-ucl
0865 acptsys
0866 dynamic3d
0867 docent
0868 gtp-user
0875 x-bone-api
0876 iwserver
0884 mc-gt-srv
0885 eforward
0898 ici
0899 ats
089A imtc-map
08A5 kali
08AC ganymede
08AD rockwell-csp1
08AE rockwell-csp2
08AF rockwell-csp3
08B8 ivs-video
08B9 infocrypt
08BA directplay
08BB sercomm-wlink
08BC nani
